AgentID,total_neighbors,VIM,VI,NVIM,NVI
33,44,0.4090909090909091,0.3409090909090909,0.022727272727272728,0.4318181818181818
34,20,0.4,0.3,0.05,0.45
35,37,0.43243243243243246,0.35135135135135137,0.02702702702702703,0.40540540540540543
36,20,0.55,0.4,0.0,0.35
37,15,0.4666666666666667,0.7333333333333333,0.0,0.13333333333333333
38,29,0.8620689655172413,0.896551724137931,0.0,0.10344827586206896
39,43,0.46511627906976744,0.2558139534883721,0.06976744186046512,0.3953488372093023
40,192,0.3333333333333333,0.65625,0.0,0.3385416666666667
41,31,0.3870967741935484,0.5161290322580645,0.0,0.3225806451612903
42,20,0.25,0.3,0.05,0.5
43,407,0.33906633906633904,0.004914004914004914,0.0,0.6609336609336609
44,44,0.2727272727272727,0.25,0.06818181818181818,0.5
45,15,0.13333333333333333,0.0,0.0,0.8666666666666667
46,40,0.325,0.225,0.075,0.55
47,43,0.046511627906976744,0.0,0.023255813953488372,0.9302325581395349
48,301,0.016611295681063124,0.4950166112956811,0.0,0.4983388704318937
49,33,0.42424242424242425,0.3333333333333333,0.06060606060606061,0.30303030303030304
50,20,0.5,0.55,0.0,0.25
51,35,0.8571428571428571,0.8285714285714286,0.02857142857142857,0.08571428571428572
52,21,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.5238095238095238
53,272,0.011029411764705883,0.007352941176470588,0.003676470588235294,0.9852941176470589
54,15,0.06666666666666667,0.2,0.0,0.8
55,13,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.3076923076923077
56,37,0.4864864864864865,0.40540540540540543,0.02702702702702703,0.35135135135135137
57,70,0.34285714285714286,0.34285714285714286,0.02857142857142857,0.44285714285714284
58,62,0.3870967741935484,0.3064516129032258,0.03225806451612903,0.5
59,77,0.4025974025974026,0.2597402597402597,0.06493506493506493,0.38961038961038963
60,67,0.05970149253731343,0.9402985074626866,0.014925373134328358,0.029850746268656716
61,56,0.2857142857142857,0.35714285714285715,0.08928571428571429,0.4107142857142857
62,61,0.26229508196721313,0.16393442622950818,0.01639344262295082,0.5573770491803278
63,57,0.42105263157894735,0.38596491228070173,0.05263157894736842,0.3508771929824561
64,26,0.46153846153846156,0.038461538461538464,0.0,0.5
65,56,0.5,0.4642857142857143,0.03571428571428571,0.32142857142857145
66,27,0.2962962962962963,0.2962962962962963,0.0,0.5925925925925926
67,26,0.4230769230769231,0.38461538461538464,0.07692307692307693,0.34615384615384615
68,21,0.3333333333333333,0.3333333333333333,0.0,0.5238095238095238
69,94,0.3617021276595745,0.3829787234042553,0.02127659574468085,0.425531914893617
70,33,0.3333333333333333,0.2727272727272727,0.09090909090909091,0.36363636363636365
